text,label,sentiment_name
"This company's approach to communication is utterly negligent. We're headed for disaster.",0,very negative
"The team's dedication to customer satisfaction is extraordinary. I'm honored to work alongside such passionate professionals!",4,very positive
"Huge congratulations to the marketing on landing the new client! This is an incredible milestone and I'm proud to be part of it!",4,very positive
"The coffee machine on 7th floor has been broken for days. Can maintenance look at this?",1,negative
"The next {meeting} is scheduled for Wednesday. The agenda will be sent tomorrow.",2,neutral
"I'm so excited about the direction we're heading with the website redesign. The possibilities are endless!",4,very positive
"The {report} for last month is now available in the shared drive under Team Files.",2,neutral
"The collaboration space booking system is confusing and unreliable. Very frustrating to use.",1,negative
"The WiFi connection in building C keeps dropping. This is making it very difficult to work.",1,negative
"The parking situation at the main office is becoming increasingly problematic. Something needs to change.",1,negative
"Thank you to Management for addressing the the budget overruns so promptly. Problem solved!",3,positive
"The expense reimbursement system decision is a total disaster waiting to happen. Someone will be responsible for this catastrophe.",0,very negative
"I'm blown away by the quality of report. The team has done an absolutely stellar job!",4,very positive
"The noise level from construction next door is becoming a real problem. It's hard to concentrate.",1,negative
"The company's commitment to diversity is incredible and sets us apart. Proud to be here!",4,very positive
"I love how we're encouraged to innovate and try new approaches. This is a truly special workplace!",4,very positive
"The team meeting yesterday was productive. Good discussions and clear action items.",3,positive
"The lighting in reception area is inadequate and causing eye strain. This needs attention.",1,negative
"The vacation approval process decision is a total disaster waiting to happen. Someone will be responsible for this catastrophe.",0,very negative
"The air conditioning on the 3rd floor seems to be broken again, it's uncomfortably warm.",1,negative
"The WiFi connection in conference room B keeps dropping. This is making it very difficult to work.",1,negative
"The printer in building C constantly jams. This is wasting a lot of time.",1,negative
"Working with this team is an absolute pleasure; the level of collaboration and support is the best I've ever experienced.",4,very positive
"The collaboration between Product and HR on the system upgrade has been really productive.",3,positive
"I wanted to recognize the facilities team for their consistent dedication to resolving the issue. Great work!",3,positive
"The company culture here is outstanding. I feel so fortunate to work with such talented and supportive people!",4,very positive
"The updated laptop is much easier to use. Nice improvement!",3,positive
"I'm shocked by the appalling lack of consideration for work-life balance. This is negligent management.",0,very negative
"The team's effort on the system upgrade has been excellent. We're ahead of schedule!",3,positive
"I'm disgusted by how workplace safety has been handled. This is a joke and shows complete incompetence.",0,very negative
"The noise level from the HVAC system is becoming a real problem. It's hard to concentrate.",1,negative
"Thanks for organizing the town hall. It was informative and well-structured.",3,positive
"I'm disgusted by how data privacy concerns has been handled. This is a joke and shows complete incompetence.",0,very negative
"I'm happy to report that customer success initiative has been successful. Good results so far.",3,positive
"The leadership session was helpful. I learned several useful techniques.",3,positive
"I love how we're encouraged to innovate and try new approaches. This is a truly special workplace!",4,very positive
"The handling of employee complaints has been an utter disaster. Leadership has failed us completely.",0,very negative
"The innovation lab has exceeded all expectations! This is a fantastic success story for our company!",4,very positive
"Working on the client deliverable has been the highlight of my career so far. What an amazing opportunity!",4,very positive
"I've noticed the bike storage has been out of order for three days now. This is quite frustrating.",1,negative
"The new hiring freeze seems to be working well. It's simplified the procurement considerably.",3,positive
"I am attaching the revised meeting notes from yesterday's team discussion for your review.",2,neutral
"The support from Management has been absolutely wonderful. They go above and beyond every time!",4,very positive
"I'm having ongoing issues with timesheet software. The support response has been slow.",1,negative
"The new security protocol seems to be working well. It's simplified the time-off requests considerably.",3,positive
"Huge congratulations to the development on winning the industry award! This is an incredible milestone and I'm proud to be part of it!",4,very positive
"The new strategy for work-life balance is an absolute disaster. We'll lose everything because of this.",0,very negative
"I'm appalled at the complete failure to address data privacy concerns. This is unacceptable negligence.",0,very negative
